"instruction","family","latency","throughput","uops","ports"
"VCVTTPD2DQ (XMM, YMM)","AVX","7","1.00 / 1.00","2 / 2","1*p01+1*p5"
"VCVTTPS2DQ (XMM, M128)","AVX","[≤8;≤11]","0.50 / 0.50","1 / 2","1*p01+1*p23A"
"VCVTTPS2DQ (XMM, XMM)","AVX","4","0.50 / 0.50","1 / 1","1*p01"
"VCVTTPS2DQ (YMM, M256)","AVX","[≤9;≤12]","0.50 / 0.50","1 / 2","1*p01+1*p23A"
"VCVTTPS2DQ (YMM, YMM)","AVX","4","0.50 / 0.50","1 / 1","1*p01"
"VCVTTSD2SI (R32, M64)","AVX","≤12","1.00 / 1.00","2 / 3","1*p0+1*p01+1*p23A"
"VCVTTSD2SI (R32, XMM)","AVX","≤7","1.00 / 1.00","2 / 2","1*p0+1*p01"
"VCVTTSD2SI (R64, M64)","AVX","≤12","1.00 / 1.00","2 / 3","1*p0+1*p01+1*p23A"
"VCVTTSD2SI (R64, XMM)","AVX","≤7","1.00 / 1.00","2 / 2","1*p0+1*p01"
"VCVTTSS2SI (R32, M32)","AVX","≤12","1.00 / 1.00","2 / 3","1*p0+1*p01+1*p23A"
"VCVTTSS2SI (R32, XMM)","AVX","≤7","1.00 / 1.00","2 / 2","1*p0+1*p01"
"VCVTTSS2SI (R64, M32)","AVX","≤12","1.00 / 1.00","2 / 3","1*p0+1*p01+1*p23A"
"VCVTTSS2SI (R64, XMM)","AVX","≤8","1.00 / 1.00","3 / 3","1*p0+1*p01+1*p5"
"VDIVPD (XMM, XMM, M128)","AVX","[≤13.0;≤21]","1.00 / 4.00","1 / 2","1*p0+1*p23A"
"VDIVPD (XMM, XMM, XMM)","AVX","[≤13.0;≤15]","1.00 / 4.00","1 / 1","1*p0"
"VDIVPD (YMM, YMM, M256)","AVX","[≤13.0;≤22]","1.00 / 8.00","1 / 2","1*p0+1*p23A"
"VDIVPD (YMM, YMM, YMM)","AVX","[≤13.0;≤15]","1.00 / 8.00","1 / 1","1*p0"
"VDIVPS (XMM, XMM, M128)","AVX","[≤11.0;≤18]","1.00 / 3.00","1 / 2","1*p0+1*p23A"
"VDIVPS (XMM, XMM, XMM)","AVX","[≤11.0;≤12]","1.00 / 3.00","1 / 1","1*p0"
"VDIVPS (YMM, YMM, M256)","AVX","[≤11.0;≤19]","1.00 / 5.00","1 / 2","1*p0+1*p23A"
"VDIVPS (YMM, YMM, YMM)","AVX","[≤11.0;≤12]","1.00 / 5.00","1 / 1","1*p0"
"VDIVSD (XMM, XMM, M64)","AVX","[≤13.0;≤21]","1.00 / 4.00","1 / 2","1*p0+1*p23A"
"VDIVSD (XMM, XMM, XMM)","AVX","[≤13.0;≤15]","1.00 / 4.00","1 / 1","1*p0"
"VDIVSS (XMM, XMM, M32)","AVX","[≤11.0;≤18]","1.00 / 3.00","1 / 2","1*p0+1*p23A"
"VDIVSS (XMM, XMM, XMM)","AVX","[≤11.0;≤12]","1.00 / 3.00","1 / 1","1*p0"
"VDPPD (XMM, XMM, M128, I8)","AVX","[9;≤16]","1.00 / 1.04","4 / 4","2*p01+1*p15+1*p23A"
"VDPPD (XMM, XMM, XMM, I8)","AVX","9","1.00 / 1.04","3 / 3","2*p01+1*p15"
"VDPPS (XMM, XMM, M128, I8)","AVX","[14;≤21]","1.67 / 3.96","7 / 7","2*p01+1*p06+2*p15+1*p23A+1*p5"
"VDPPS (XMM, XMM, XMM, I8)","AVX","14","1.67 / 3.95","6 / 6","2*p01+1*p06+2*p15+1*p5"
"VDPPS (YMM, YMM, M256, I8)","AVX","[14;≤22]","1.67 / 3.96","7 / 7","2*p01+1*p06+2*p15+1*p23A+1*p5"
"VDPPS (YMM, YMM, YMM, I8)","AVX","14","1.67 / 3.94","6 / 6","2*p01+1*p06+2*p15+1*p5"
"VEXTRACTF128 (M128, YMM, I8)","AVX","[≤4;≤12]","0.50 / 0.50","2 / 2","1*p49+1*p78"
"VEXTRACTF128 (XMM, YMM, I8)","AVX","3","1.00 / 1.00","1 / 1","1*p5"
"VEXTRACTPS (M32, XMM, I8)","AVX","[≤5;≤12]","1.00 / 1.00","2 / 3","1*p49+1*p5+1*p78"
"VEXTRACTPS (R32, XMM, I8)","AVX","≤4","1.00 / 1.00","2 / 2","1*p0+1*p5"
"VHADDPD (XMM, XMM, M128)","AVX","[5;≤12]","2.00 / 2.00","4 / 4","1*p15+1*p23A+2*p5"
"VHADDPD (XMM, XMM, XMM)","AVX","5","2.00 / 2.00","3 / 3","1*p15+2*p5"
"VHADDPD (YMM, YMM, M256)","AVX","[5;≤13]","2.00 / 2.00","4 / 4","1*p15+1*p23A+2*p5"
"VHADDPD (YMM, YMM, YMM)","AVX","5","2.00 / 2.00","3 / 3","1*p15+2*p5"
"VHADDPS (XMM, XMM, M128)","AVX","[5;≤12]","2.00 / 2.00","4 / 4","1*p15+1*p23A+2*p5"
"VHADDPS (XMM, XMM, XMM)","AVX","5","2.00 / 2.00","3 / 3","1*p15+2*p5"
"VHADDPS (YMM, YMM, M256)","AVX","[5;≤13]","2.00 / 2.00","4 / 4","1*p15+1*p23A+2*p5"
"VHADDPS (YMM, YMM, YMM)","AVX","5","2.00 / 2.00","3 / 3","1*p15+2*p5"
"VHSUBPD (XMM, XMM, M128)","AVX","[5;≤12]","2.00 / 2.00","4 / 4","1*p15+1*p23A+2*p5"
"VHSUBPD (XMM, XMM, XMM)","AVX","5","2.00 / 2.00","3 / 3","1*p15+2*p5"
"VHSUBPD (YMM, YMM, M256)","AVX","[5;≤13]","2.00 / 2.00","4 / 4","1*p15+1*p23A+2*p5"
"VHSUBPD (YMM, YMM, YMM)","AVX","5","2.00 / 2.00","3 / 3","1*p15+2*p5"
"VHSUBPS (XMM, XMM, M128)","AVX","[5;≤12]","2.00 / 2.00","4 / 4","1*p15+1*p23A+2*p5"
"VHSUBPS (XMM, XMM, XMM)","AVX","5","2.00 / 2.00","3 / 3","1*p15+2*p5"
"VHSUBPS (YMM, YMM, M256)","AVX","[5;≤13]","2.00 / 2.00","4 / 4","1*p15+1*p23A+2*p5"
"VHSUBPS (YMM, YMM, YMM)","AVX","5","2.00 / 2.00","3 / 3","1*p15+2*p5"
"VINSERTF128 (YMM, YMM, M128, I8)","AVX","[1;≤9]","0.33 / 0.33","2 / 2","1*p015+1*p23A"
"VINSERTF128 (YMM, YMM, XMM, I8)","AVX","3","1.00 / 1.00","1 / 1","1*p5"
"VINSERTPS (XMM, XMM, M32, I8)","AVX","[1;≤8]","1.00 / 1.00","2 / 2","1*p23A+1*p5"
"VINSERTPS (XMM, XMM, XMM, I8)","AVX","1","1.00 / 1.00","1 / 1","1*p5"
"VLDDQU (XMM, M128)","AVX","[≤4;≤7]","0.33 / 0.33","1 / 1","1*p23A"
"VLDDQU (YMM, M256)","AVX","[≤5;≤8]","0.33 / 0.33","1 / 1","1*p23A"
"VLDMXCSR (M32)","AVX","","1.00 / 6.00","11 / 3","1*p0+1*p06+1*p23A"
"VMASKMOVDQU (XMM, XMM)","AVX","≤10","1.00 / 6.00","10 / 10","1*p0+1*p06+1*p15+2*p23A+2*p49+1*p5+2*p78"
"VMASKMOVPD (M128, XMM, XMM)","AVX","[≤11;≤14]","1.00 / 1.00","3 / 3","1*p0+1*p49+1*p78"
"VMASKMOVPD (M256, YMM, YMM)","AVX","[≤11;≤14]","1.00 / 1.00","3 / 3","1*p0+1*p49+1*p78"
"VMASKMOVPD (XMM, XMM, M128)","AVX","[1;≤8]","0.33 / 0.33","2 / 2","1*p015+1*p23A"
"VMASKMOVPD (YMM, YMM, M256)","AVX","[1;≤9]","0.33 / 0.40","2 / 2","1*p015+1*p23A"
"VMASKMOVPS (M128, XMM, XMM)","AVX","[≤11;≤14]","1.00 / 1.00","3 / 3","1*p0+1*p49+1*p78"
"VMASKMOVPS (M256, YMM, YMM)","AVX","[≤11;≤14]","1.00 / 1.00","3 / 3","1*p0+1*p49+1*p78"
"VMASKMOVPS (XMM, XMM, M128)","AVX","[1;≤8]","0.33 / 0.33","2 / 2","1*p015+1*p23A"
"VMASKMOVPS (YMM, YMM, M256)","AVX","[1;≤9]","0.33 / 0.40","2 / 2","1*p015+1*p23A"
"VMAXPD (XMM, XMM, M128)","AVX","[4;≤11]","0.50 / 0.50","1 / 2","1*p01+1*p23A"
"VMAXPD (XMM, XMM, XMM)","AVX","4","0.50 / 0.50","1 / 1","1*p01"
"VMAXPD (YMM, YMM, M256)","AVX","[4;≤12]","0.50 / 0.50","1 / 2","1*p01+1*p23A"
"VMAXPD (YMM, YMM, YMM)","AVX","4","0.50 / 0.50","1 / 1","1*p01"
"VMAXPS (XMM, XMM, M128)","AVX","[4;≤11]","0.50 / 0.50","1 / 2","1*p01+1*p23A"
"VMAXPS (XMM, XMM, XMM)","AVX","4","0.50 / 0.50","1 / 1","1*p01"
"VMAXPS (YMM, YMM, M256)","AVX","[4;≤12]","0.50 / 0.50","1 / 2","1*p01+1*p23A"
"VMAXPS (YMM, YMM, YMM)","AVX","4","0.50 / 0.50","1 / 1","1*p01"
"VMAXSD (XMM, XMM, M64)","AVX","[4;≤11]","0.50 / 0.50","1 / 2","1*p01+1*p23A"
"VMAXSD (XMM, XMM, XMM)","AVX","4","0.50 / 0.50","1 / 1","1*p01"
"VMAXSS (XMM, XMM, M32)","AVX","[4;≤11]","0.50 / 0.50","1 / 2","1*p01+1*p23A"
"VMAXSS (XMM, XMM, XMM)","AVX","4","0.50 / 0.50","1 / 1","1*p01"
"VMINPD (XMM, XMM, M128)","AVX","[4;≤11]","0.50 / 0.50","1 / 2","1*p01+1*p23A"
"VMINPD (XMM, XMM, XMM)","AVX","4","0.50 / 0.50","1 / 1","1*p01"
"VMINPD (YMM, YMM, M256)","AVX","[4;≤12]","0.50 / 0.50","1 / 2","1*p01+1*p23A"
"VMINPD (YMM, YMM, YMM)","AVX","4","0.50 / 0.50","1 / 1","1*p01"
"VMINPS (XMM, XMM, M128)","AVX","[4;≤11]","0.50 / 0.50","1 / 2","1*p01+1*p23A"
"VMINPS (XMM, XMM, XMM)","AVX","4","0.50 / 0.50","1 / 1","1*p01"
"VMINPS (YMM, YMM, M256)","AVX","[4;≤12]","0.50 / 0.50","1 / 2","1*p01+1*p23A"
"VMINPS (YMM, YMM, YMM)","AVX","4","0.50 / 0.50","1 / 1","1*p01"
"VMINSD (XMM, XMM, M64)","AVX","[4;≤11]","0.50 / 0.50","1 / 2","1*p01+1*p23A"
"VMINSD (XMM, XMM, XMM)","AVX","4","0.50 / 0.50","1 / 1","1*p01"
"VMINSS (XMM, XMM, M32)","AVX","[4;≤11]","0.50 / 0.50","1 / 2","1*p01+1*p23A"
"VMINSS (XMM, XMM, XMM)","AVX","4","0.50 / 0.50","1 / 1","1*p01"
"VMOVAPD (M128, XMM)","AVX","[≤4;≤12]","0.50 / 0.50","1 / 2","1*p49+1*p78"
"VMOVAPD (M256, YMM)","AVX","[≤4;≤12]","0.50 / 0.50","1 / 2","1*p49+1*p78"
"VMOVAPD (XMM, M128)","AVX","[≤4;≤7]","0.33 / 0.33","1 / 1","1*p23A"
"VMOVAPD (YMM, M256)","AVX","[≤5;≤8]","0.33 / 0.33","1 / 1","1*p23A"
"VMOVAPD_28 (XMM, XMM)","AVX","[0;1]","0.17","1 / 0",""
"VMOVAPD_28 (YMM, YMM)","AVX","[0;1]","0.17","1 / 0",""
"VMOVAPD_29 (XMM, XMM)","AVX","[0;1]","0.17","1 / 0",""
"VMOVAPD_29 (YMM, YMM)","AVX","[0;1]","0.17","1 / 0",""
"VMOVAPS (M128, XMM)","AVX","[≤4;≤12]","0.50 / 0.50","1 / 2","1*p49+1*p78"
