"instruction","family","latency","throughput","uops","ports"
"SUB (R16, M16)","BASE","[1;6]","0.50 / 0.50","1 / 2","1*p0156+1*p23"
"SUB (R32, 0)","BASE","1","0.25 / 0.25","1 / 1","1*p0156"
"SUB (R32, I32)","BASE","1","0.25 / 0.25","1 / 1","1*p0156"
"SUB (R32, I8)","BASE","1","0.25 / 0.25","1 / 1","1*p0156"
"SUB (R32, M32)","BASE","[1;6]","0.50 / 0.50","1 / 2","1*p0156+1*p23"
"SUB (R64, 0)","BASE","1","0.25 / 0.25","1 / 1","1*p0156"
"SUB (R64, I32)","BASE","1","0.25 / 0.25","1 / 1","1*p0156"
"SUB (R64, I8)","BASE","1","0.25 / 0.25","1 / 1","1*p0156"
"SUB (R64, M64)","BASE","[1;6]","0.50 / 0.50","1 / 2","1*p0156+1*p23"
"SUB (R8h, 0)","BASE","1","0.25 / 0.29","1 / 1","1*p0156"
"SUB (R8h, I8)","BASE","1","0.25 / 0.29","1 / 1","1*p0156"
"SUB (R8h, M8)","BASE","[1;6]","0.50 / 0.50","1 / 2","1*p0156+1*p23"
"SUB (R8l, M8)","BASE","[1;6]","0.50 / 0.50","1 / 2","1*p0156+1*p23"
"SUB (RAX, I32)","BASE","1","0.25 / 0.50","1 / 1","1*p0156"
"SUB_28 (R8h, R8h)","BASE","1","0.25 / 0.40","1 / 1","1*p0156"
"SUB_28 (R8h, R8l)","BASE","1","0.25 / 0.40","1 / 1","1*p0156"
"SUB_28 (R8l, R8h)","BASE","1","0.25 / 0.40","1 / 1","1*p0156"
"SUB_28 (R8l, R8l)","BASE","1","0.25 / 0.25","1 / 1","1*p0156"
"SUB_29 (R16, R16)","BASE","1","0.25 / 0.25","1 / 1","1*p0156"
"SUB_29 (R32, R32)","BASE","[0;1]","0.25 / 0.25","1 / 1","1*p0156"
"SUB_29 (R64, R64)","BASE","[0;1]","0.25 / 0.25","1 / 1","1*p0156"
"SUB_2A (R8h, R8h)","BASE","1","0.25 / 0.40","1 / 1","1*p0156"
