"instruction","family","latency","throughput","uops","ports"
"VINSERTI32X4 (ZMM, K, ZMM, XMM, I8)","AVX512EVEX","3","1.00 / 1.00","1 / 1","1*p5"
"VINSERTI32X4 (ZMM, ZMM, M128, I8)","AVX512EVEX","[1;≤9]","0.50 / 0.50","2 / 2","1*p05+1*p23"
"VINSERTI32X4 (ZMM, ZMM, XMM, I8)","AVX512EVEX","3","1.00 / 1.00","1 / 1","1*p5"
"VINSERTI32X4_Z (YMM, K, YMM, M128, I8)","AVX512EVEX","[1;≤9]","0.50 / 0.50","2 / 2","1*p015+1*p23"
"VINSERTI32X4_Z (YMM, K, YMM, XMM, I8)","AVX512EVEX","3","1.00 / 1.00","1 / 1","1*p5"
"VINSERTI32X4_Z (ZMM, K, ZMM, M128, I8)","AVX512EVEX","[1;≤9]","0.50 / 0.50","2 / 2","1*p05+1*p23"
"VINSERTI32X4_Z (ZMM, K, ZMM, XMM, I8)","AVX512EVEX","3","1.00 / 1.00","1 / 1","1*p5"
"VINSERTI32X8 (ZMM, K, ZMM, M256, I8)","AVX512EVEX","[1;≤9]","0.50 / 0.50","2 / 2","1*p05+1*p23"
"VINSERTI32X8 (ZMM, K, ZMM, YMM, I8)","AVX512EVEX","3","1.00 / 1.00","1 / 1","1*p5"
"VINSERTI32X8 (ZMM, ZMM, M256, I8)","AVX512EVEX","[1;≤9]","0.50 / 0.50","2 / 2","1*p05+1*p23"
"VINSERTI32X8 (ZMM, ZMM, YMM, I8)","AVX512EVEX","3","1.00 / 1.00","1 / 1","1*p5"
"VINSERTI32X8_Z (ZMM, K, ZMM, M256, I8)","AVX512EVEX","[1;≤9]","0.50 / 0.50","2 / 2","1*p05+1*p23"
"VINSERTI32X8_Z (ZMM, K, ZMM, YMM, I8)","AVX512EVEX","3","1.00 / 1.00","1 / 1","1*p5"
"VINSERTI64X2 (YMM, K, YMM, M128, I8)","AVX512EVEX","[1;≤9]","0.50 / 0.50","2 / 2","1*p015+1*p23"
"VINSERTI64X2 (YMM, K, YMM, XMM, I8)","AVX512EVEX","3","1.00 / 1.00","1 / 1","1*p5"
"VINSERTI64X2 (YMM, YMM, M128, I8)","AVX512EVEX","[1;≤9]","0.50 / 0.50","2 / 2","1*p015+1*p23"
"VINSERTI64X2 (YMM, YMM, XMM, I8)","AVX512EVEX","3","1.00 / 1.00","1 / 1","1*p5"
"VINSERTI64X2 (ZMM, K, ZMM, M128, I8)","AVX512EVEX","[1;≤9]","0.50 / 0.50","2 / 2","1*p05+1*p23"
"VINSERTI64X2 (ZMM, K, ZMM, XMM, I8)","AVX512EVEX","3","1.00 / 1.00","1 / 1","1*p5"
"VINSERTI64X2 (ZMM, ZMM, M128, I8)","AVX512EVEX","[1;≤9]","0.50 / 0.50","2 / 2","1*p05+1*p23"
"VINSERTI64X2 (ZMM, ZMM, XMM, I8)","AVX512EVEX","3","1.00 / 1.00","1 / 1","1*p5"
"VINSERTI64X2_Z (YMM, K, YMM, M128, I8)","AVX512EVEX","[1;≤9]","0.50 / 0.50","2 / 2","1*p015+1*p23"
"VINSERTI64X2_Z (YMM, K, YMM, XMM, I8)","AVX512EVEX","3","1.00 / 1.00","1 / 1","1*p5"
"VINSERTI64X2_Z (ZMM, K, ZMM, M128, I8)","AVX512EVEX","[1;≤9]","0.50 / 0.50","2 / 2","1*p05+1*p23"
"VINSERTI64X2_Z (ZMM, K, ZMM, XMM, I8)","AVX512EVEX","3","1.00 / 1.00","1 / 1","1*p5"
